payment_id,attempt,action,outcome,amount,timestamp
pay_1001,1,delay_retry_24h,recovered,7727.21,2026-09-05T19:52:53
pay_1002,1,send_payment_link_whatsapp,failed,8877.18,2026-09-05T19:52:53
pay_1002,2,notify_customer_sms,failed,8877.18,2026-09-05T19:52:53
pay_1003,1,delay_retry_24h,failed,526.62,2026-09-05T19:52:53
pay_1003,2,notify_customer_sms,failed,526.62,2026-09-05T19:52:53
pay_1003,3,escalate_manual_followup,failed,526.62,2026-09-05T19:52:53
pay_1004,1,send_payment_link_whatsapp,recovered,6800.75,2026-09-05T19:52:53
pay_1005,0,skipped_opted_out,not_attempted,5473.13,2026-09-05T19:52:53
pay_1006,1,auto_retry_backup_method,recovered,8422.95,2026-09-05T19:52:53
pay_1007,1,auto_retry_same_method,failed,1361.19,2026-09-05T19:52:53
pay_1007,2,auto_retry_backup_method,recovered,1361.19,2026-09-05T19:52:53
pay_1008,1,send_payment_link_whatsapp,failed,9714.47,2026-09-05T19:52:53
pay_1008,2,notify_customer_sms,failed,9714.47,2026-09-05T19:52:53
pay_1009,1,auto_retry_backup_method,recovered,1083.78,2026-09-05T19:52:53
pay_1010,1,send_payment_link_whatsapp,failed,6991.62,2026-09-05T19:52:53
pay_1010,2,notify_customer_sms,failed,6991.62,2026-09-05T19:52:53
pay_1011,1,auto_retry_same_method,recovered,11824.88,2026-09-05T19:52:53
pay_1012,1,auto_retry_backup_method,failed,7682.86,2026-09-05T19:52:53
pay_1012,2,send_payment_link_whatsapp,failed,7682.86,2026-09-05T19:52:53
pay_1012,3,escalate_manual_followup,recovered,7682.86,2026-09-05T19:52:53
pay_1013,1,send_payment_link_whatsapp,failed,8466.57,2026-09-05T19:52:53
pay_1013,2,notify_customer_sms,failed,8466.57,2026-09-05T19:52:53
pay_1014,1,auto_retry_same_method,recovered,6479.56,2026-09-05T19:52:53
pay_1015,1,auto_retry_backup_method,failed,2752.44,2026-09-05T19:52:53
pay_1015,2,send_payment_link_whatsapp,failed,2752.44,2026-09-05T19:52:53
pay_1015,3,escalate_manual_followup,failed,2752.44,2026-09-05T19:52:53
pay_1016,1,auto_retry_backup_method,failed,9888.36,2026-09-05T19:52:53
pay_1016,2,send_payment_link_whatsapp,failed,9888.36,2026-09-05T19:52:53
pay_1016,3,escalate_manual_followup,failed,9888.36,2026-09-05T19:52:53
pay_1017,1,auto_retry_same_method,recovered,2669.62,2026-09-05T19:52:53
pay_1018,1,auto_retry_same_method,recovered,1843.03,2026-09-05T19:52:53
pay_1019,1,auto_retry_same_method,failed,9002.11,2026-09-05T19:52:53
pay_1019,2,auto_retry_backup_method,failed,9002.11,2026-09-05T19:52:53
pay_1019,3,notify_customer_sms,failed,9002.11,2026-09-05T19:52:53
pay_1020,1,auto_retry_same_method,failed,11968.31,2026-09-05T19:52:53
